age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,Other,20,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Negative,White,16,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,10,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,2,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Management,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Management,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,38,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,3,Health,Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Man,Somewhat,Somewhat,No,Positive,White,50,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,8,Business,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,30,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Negative,Middle Eastern,28,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,6,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Some College
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,35,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,5,Natural resources and agriculture,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",20,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,40,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,10,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Positive,White,49,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",34,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,"African, Caribbean, or Black ",33,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,No,Negative,White,15,"education, law and social, community, and government services",Hybrid,"$90,000 or more",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,Management,Hybrid,"Less than $30,000",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,37.5,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Do Not Work from Home,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,3,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,65,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,45,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,Asian,3,Health,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Non-binary,Somewhat,Very Closely,"Yes, two doses",Positive,White,30,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,Business,Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,"African, Caribbean, or Black ",25,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,25,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",4,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Negative,Asian,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,40,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,40,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,24,Health,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",2,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Not at all,Not at all,"Yes, two doses",Positive,White,6,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Negative,Other,2,"Trades, transport and equipment operators",Work from Home Only,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,56,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,6,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",15,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Management,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Other,26,Health,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,Asian,35,Natural resources and agriculture,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Non-binary,Very Closely,Very Closely,No,Negative,White,55,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Negative,Other,35,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Negative,Asian,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,9,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,9,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",36,"art, culture, recreation and sport",Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Negative,White,40,Manufacturing and utilities,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,Other,20,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",2,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,Manufacturing and utilities,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,35,Management,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Man,Not at all,Not at all,No,Positive,White,40,Management,Do Not Work from Home,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,5,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Negative,White,40,Natural and applied sciences,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,3,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Not at all,Not at all,No,Positive,White,45,"Trades, transport and equipment operators",Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,30,Management,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,White,36,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Other,12,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,30,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,9,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
60 years and older,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,20,Business,Work from Home Only,"$30,000 to $59,999",Some College
60 years and older,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,25,"art, culture, recreation and sport",Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,30,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,55,Sales and service,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,9,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,48,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,9,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
